Company name;Website;City/location;Segment (Basket A);What they make;Revenue band (estimate);Decision maker ;E1: Producer;E2:Accessible;C3 differentiated;C4 Decision- Maker;C5 Tailwind;C6 Growth;C7 Systems;C8 Succession;Total;Verdict;Personalization Hook
Asian Star Surat Manufacturing;https://www.asianstargroup.com;Surat;Diamond Manufacturing;Diamond processing and exports;Unknown;Vipul Shah (Ceo & Managing Director);PASS(Large export operation);PASS (HQ,Manufacturing office In India);"Strong (20)-Proprietary software; ERP system; R&D centre; advanced diamond manufacturing technology; vertically integrated mine-to-market model";"Strong (15)-Three-generation operating business; formal board structure; listed company governance";"Moderate(7,5)-Diamond and jewellery sector has mixed tailwinds  ""Sector growth less predictable than specialty chemicals""";Moderate (7,5)-Long-term market leadership and global customer base;"Strong (20)-ERP system; R&D centre; ISO-certified operations; internal audits; advanced technology infrastructure";"Strong (15)-Third-generation leadership (Rahil Shah) formally involved; multiple directors with distinct responsibilities";85;A- Band;High potential with strong criteria score and ceo being third genaration
Greenlab Diamonds;https://www.greenlabdiamonds.com;Surat;Lab-Grown Diamonds;Lab-grown diamond manufacturing using CVD technology;Unknown;N/A;PASS ( Emerging high-growth tech-based diamond firm);PASS (Manufacturing office in India);Strong (20)-Lab-grown diamond technology IP;Strong (15)- Science-led leadership structure;Strong (15)-EV + synthetic diamond growth tailwind;Strong (15)- High growth expansion signals;Strong (20)- Tech-enabled systems;Weak (0)-N/A;85;A- Band;Company allows technology indicating versatility and creative methods in operations
Addon FilmTech Pvt Ltd;https://www.addonfilmtech.com;Surat;Specialty Packaging Films;PET and COPET shrink films for packaging applications;Unknown;N/A;PASS (100-150 employees worldwide exports);PASS (Manufacturing office in India);Strong (20)-Specialty shrink film expertise;Strong (15)- Technocrat founded operation;Strong (15)-Packaging demand growth;Strong (15)- Demerger and expansion activity;Moderate (10)-Manufacturing systems implied;Moderate (7,5)-Founder-led business;82,5;A- Band;Using different methods for film packaging shows companies differentiation
Himson Textile Engineering;https://www.himson.com;Surat;Textile Machinery;Texturizing and twisting machinery for textile industry;Unknown;N/A;PASS ( Major machinery manufacturer);PASS (HQ,Manufacturing office In India);Strong (20)-Specialized textile machinery;Strong (15)- Engineering focused operations;Strong (15)-Make in India machinery theme;Strong (15)- Industry exhibition participation;Moderate (10)-Manufacturing systems likely;Moderate (7,5)-Leadership visibility limited;82,5;A- Band;Transforms machinery for the textile industry being different from other companies 
Happy Engineering;https://happyengg.com;Surat;CNC Machinery;CNC routers laser cutting and industrial automation machinery;Unknown;N/A;PASS ( 1000+ machines manufactured and delivered);PASS (Manufacturing office in India);Strong (20)-CNC and laser manufacturing specialization;Strong (15)- Founder engineering orientation;Strong (15)-Automation manufacturing growth;Strong (15)- 1000+ machine deployments;Moderate (10)-System investment indications;Weak (0)-N/A;75;B-Band;Benefits from Automating manufacturing process being different from manufacturing cost and input
Limelight Diamonds;https://www.limelightdiamonds.com;Surat;Lab-Grown Diamonds;Cultured diamond production and retail supply chain;Unknown;N/A;PASS ( Manufacturer and trader scale operation);PASS (Manufacturing office in India);Strong (20)-Lab diamond product innovation;Strong (15)- Startup-style structured leadership;Strong (15)-Lab diamond demand growth;Strong (15)- Rapid expansion signals;Moderate (10)-Growing systems maturity;Weak (0)-N/A;75;B-Band;Benefits from long existence in game although follows cultural manufacturing 
Gopala Polyplast Pvt Ltd;https://www.gopalapolyplast.com;Surat;Plastic Packaging;Plastic packaging films and industrial polymer products;Unknown;N/A;PASS ( Mid-scale polymer manufacturer);PASS (Manufacturing office in India);Strong (20)-Polymer film manufacturing capability;Moderate (7,5)-SME leadership;Strong (15)-Packaging sector growth;Strong (15)- Moderate expansion;Moderate (10)-Some structured operations;Weak (0)-N/A;67,5;B-Band;Has structured operations and SME Leadership although products being generic as other companies in industry 
Shamal & Shamal Pvt Ltd;https://www.shamalandshamal.com;Surat;Textile Fabrics;Jacquard embroidery brocade and printed fabric manufacturing;Unknown;N/A;PASS ( 700+ employee textile manufacturer);PASS (HQ,Manufacturing office In India);"Strong (20)-In-house design, weaving, processing and embroidery; custom designer fabrics; value-added textile products; embroidery specialization";Moderate (7,5)-Long-standing operating manufacturing company;Strong (15)- Fashion fabrics, value-added textiles and exports;Moderate (7,5)-Large workforce and continued manufacturing activity Integrated manufacturing operation suggests structured production;Moderate (10)- N/A;Moderate (7,5)- Business continuity evident;67,5;B-Band;Company has Inhouse design and has value added textiles and exports
Valuetex Coating India Pvt Ltd;https://www.valuetexcoating.in;Surat;Technical Textiles;PU PVC TPU coated fabrics and lamination solutions;Unknown;N/A;PASS ( 120000 metres per day capacity);PASS (Manufacturing office in India);Strong (20)-Technical coated fabrics capability;Moderate (7,5)-Operational manufacturing evidence;Strong (15)-Technical textiles growth theme;Strong (15)- Large production capacity;Moderate (10)-Manufacturing systems likely;Weak (0)-N/A;67,5;B-Band;Diifers from other companies because of fabric resources used in the company and large capacity production of product 
Altret Industries;https://www.altret.com;Surat;Water Treatment Chemicals;Industrial water treatment specialty chemicals;Unknown;N/A;PASS (Industrial scale manufacturer);PASS (HQ,Manufacturing office In India);"Strong (20)-Water-treatment specialty chemicals; niche industrial applications; specialized chemical formulations";Moderate (7,5)- Long-standing operating specialty chemical company;Strong (15)- Water treatment and industrial specialty chemicals benefit from environmental and industrial demand;Moderate (7,5)-Active company operations;Moderate (10)- Industrial manufacturing organization;Weak (0)-N/A;60;B-Band;Provides generic product as normal government companies offer
Colourtex Industries Surat Unit;https://www.colourtex.com;Surat;Textile Chemicals;Dyes pigments and textile processing chemicals;Unknown;N/A;PASS ( Large established chemical group);PASS (Manufacturing office in India);Strong (20)-Established dye chemistry capability;Moderate (7,5)-Long-term industrial leadership;Strong (15)-Textile export demand;Moderate (7,5)-Moderate expansion signals;Moderate (10)-Manufacturing systems implied;Weak (0)-N/A;60;B-Band;Established dye chemistry capability being a big differ in the industry 
Sagar Colour Co;https://www.sagarcolour.com;Surat;Textile Dyes;Industrial dyes for textile applications;Unknown;N/A;PASS ( Mid-large dye manufacturer);PASS (Manufacturing office in India);Strong (20)-Industrial dye manufacturing specialization;Moderate (7,5)-Experienced SME leadership;Strong (15)-Textile dye demand tailwind;Moderate (7,5)-Stable growth;Moderate (10)-Limited disclosure;Weak (0)-N/A;60;B-Band;Generic product as other companies in dye manufacturing, creating other company product 
Sheetal Manufacturing Co;https://www.sheetalgroup.com;Surat;Diamond Manufacturing;Diamond polishing and export operations;Unknown;N/A;PASS ( Manufacturer and trader scale operation);PASS (Manufacturing office in India);Strong (20)-Diamond polishing specialization;Moderate (7,5)-SME leadership model;Strong (15)-Export demand tailwinds;Moderate (7,5)-Stable SME growth;Moderate (10)-Limited system visibility;Weak (0)-N/A;60;B-Band;Differs from stable SME growth and SME leadership
Aceto Chem;https://www.acetochem.com;Surat;Fine Chemicals;Organic and fine chemicals for industrial applications;Unknown;N/A;PASS (Established exporter manufacturer);PASS (HQ,Manufacturing office In India);"Moderate (10)-Manufacturer of dye intermediates; exports to USA, Argentina, Egypt, Japan and Europe; ISO-certified manufacturing; advanced laboratory testing (GC, HPTLC, TLC)";"Moderate (7,5)-Active management team; CEO identified; long operating history since 1976";Strong (15)- Specialty chemicals and dye intermediates remain part of India's specialty chemical value chain;"Moderate (7,5)-Export footprint; active manufacturing business";"Moderate (10)- ISO-certified manufacturing; quality-control laboratories; international exports";Moderate (7,5)- CEO and directors identified;57,5;C-Band;Generic dye manufacturing, creating other company product 
Adinath Tex-Chem;https://www.adinath.co.in;Surat;Textile Chemicals;Textile processing and specialty chemical solutions;Unknown;N/A;PASS (Capacity expansions reported);PASS (HQ,Manufacturing office In India);Moderate (10)-Textile chemical specialization;Moderate (7,5)-Manufacturing scale-up history;Strong (15)-Textile processing demand;Strong (15)- Documented capacity expansion;Moderate (10)-Manufacturing systems likely;Weak (0)-N/A;57,5;C-Band;Generic product  
Suman Chemical Industries;https://www.sumanchem.com;Surat;Specialty Chemicals;Adhesives textile auxiliaries and specialty chemicals;Unknown;N/A;PASS ( ISO certified manufacturer);PASS (HQ,Manufacturing office In India);Moderate (10)-Chemical manufacturing activity identified;Moderate (7,5)-Operating manufacturing company;Strong (15)- Indian specialty chemical ecosystem;Strong (15)-Company remains active;Moderate (10)- N/A;Weak (0)-N/A;57,5;C-Band;Generic product  
GK Biochemical Corporation;https://www.gkbiochemical.com;Surat;Industrial Enzymes & Chemicals;Textile enzymes agro chemicals and specialty formulations;Unknown;N/A;PASS ( Manufacturer and trader scale operation);PASS (Manufacturing office in India);Moderate (10)-Chemical formulation expertise;Moderate (7,5)-Manufacturing and trading capability;Strong (15)-Specialty chemicals tailwinds;Moderate (7,5)-Ongoing activity visible;Moderate (10)-Production systems implied;Weak (0)-N/A;50;C-Band;Generic product  
Hariram Engineering;https://www.hariramengineering.com;Surat;Packaging Machinery;Packaging printing lamination and disposable product machinery;Unknown;N/A;PASS ( 3000+ installations);PASS (Manufacturing office in India);Moderate (10)-Packaging machinery specialization;Moderate (7,5)-Long operating history;Strong (15)-Packaging automation trend;Moderate (7,5)-Steady installation growth;Moderate (10)-Operational systems implied;Weak (0)-N/A;50;C-Band;Generic product although uses automation to manufacture products 
Yantra Engineering;https://www.exportersindia.com/yantraengineering;Surat;Textile Machine Components;Cone winders warping and textile machine accessories;Unknown;N/A;PASS ( Established export manufacturer);PASS (Manufacturing office in India);Moderate (10)-Textile machine accessories niche;Moderate (7,5)-Manufacturing continuity;Strong (15)-Textile export ecosystem support;Moderate (7,5)-Exporter activity visible;Moderate (10)-Structured production likely;Weak (0)-N/A;50;C-Band;Generic product
APL Corporation;https://www.aplcorporation.com;Surat;Fiber Yarn Fabric;Fiber yarn and textile manufacturing;Unknown;N/A;PASS (Integrated textile operations);PASS (HQ,Manufacturing office In India);Moderate (10)-Manufacturing activity identified;Moderate (7,5)-Operating business;Strong (15)- Indian manufacturing sector;Moderate (7,5)-Visible company activity;Weak (0)- N/A;Weak (0)-N/A;40;C-Band;Generic product
Bhatia Colour Company (VAPCHEM);https://www.vapchem.com;Surat;Textile Chemicals;Textile dyes chemicals and construction chemicals;Unknown;N/A;PASS ( Manufacturer and trader scale operation);PASS (HQ,Manufacturing office In India);Moderate (10)-Established textile chemistry expertise;Moderate (7,5)-Long operating history;Strong (15)-Textile chemical demand;Moderate (7,5)-Longevity but limited disclosures;Weak (0)- N/A;Weak (0)-N/A;40;C-Band;Generic product
Maruti Packaging;https://www.marutipack.com;Surat;Corrugated Packaging;Corrugated boxes mono cartons and industrial packaging solutions;Unknown;N/A;PASS ( Manufacturer and trader scale operation);PASS (Manufacturing office in India);Moderate (10)-Custom packaging capability;Moderate (7,5)-Small structured manufacturing unit;Strong (15)-E-commerce and packaging demand;Moderate (7,5)-Operating growth indications;Weak (0)- N/A;Weak (0)-N/A;40;C-Band;Differentiation of product design 
ORA Chem;https://www.orachem.in;Surat;Textile Chemicals;Textile auxiliary chemicals and finishing chemicals;Unknown;N/A;PASS ( Regional manufacturer supplier);PASS (HQ,Manufacturing office In India);Moderate (10)-Textile auxiliaries niche;Moderate (7,5)-Manufacturing operation;Strong (15)-Textile ecosystem growth;Moderate (7,5)-Regional growth only;Weak (0)- N/A;Weak (0)-N/A;40;C-Band;Generic
Shree Laxmi Engineering Works;https://www.laxmiengworks.com;Surat;Textile Machinery;Textile spinning weaving and dyeing machinery;Unknown;N/A;PASS ( Engineering SME manufacturer);PASS (Manufacturing office in India);Moderate (10)-Textile machinery specialization;Moderate (7,5)-Engineering SME leadership;Strong (15)-Textile machinery demand;Moderate (7,5)-Stable operations;Weak (0)- N/A;Weak (0)-N/A;40;C-Band;Generic
Shree Ram Polychem Surat Unit;https://www.srpcpl.com;Surat;Polymer Chemicals;Industrial polymer additives and compounds;Unknown;N/A;PASS ( Mid-scale industrial chemical producer);PASS (Manufacturing office in India);Moderate (10)-Polymer chemical specialization;Moderate (7,5)-SME leadership;Strong (15)-Plastic & polymer demand;Moderate (7,5)-Moderate growth signals;Weak (0)- N/A;Weak (0)-N/A;40;C-Band;Generic
25;;;;;;;;;;;;;;;;;
